filename	cm_label
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18646993.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18722709.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22063789.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22183137.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19785308.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18978114.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22072741.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19809321.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18718180.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22038034.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20400629.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22168706.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_23741767.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19000485.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18995710.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18996411.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19029337.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22190311.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19029294.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_23633777.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22192217.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18789356.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_21000307.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22073702.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22970995.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22185256.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18782313.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22115097.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18665469.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20009552.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18829079.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22055693.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22101357.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20920193.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22001844.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22078198.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22199986.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22219292.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19773549.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22949696.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20163032.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22057423.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22108555.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18773848.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_21601905.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22050366.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22107364.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22958634.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18983030.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22151760.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22106623.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22069441.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20327229.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18773830.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18832412.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19711989.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19011170.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18964967.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22096015.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22328105.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_21162592.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22116507.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22219312.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20866035.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_23568904.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18959788.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_21944595.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20737995.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22078193.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22354819.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_18792620.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20051252.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_20873180.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_19050491.mp3	bonafide
CVoiceFake_small/zh-CN/Bonafide/common_voice_zh-CN_22055606.mp3	bonafide
